1, 0.04768 0.026382 0.007906 0. 0. 0. 0.00356 0. 0. 0. 0. 0. 0. 0. 0. 0.132473 0. 0. 0. 0.004628;
2, 0.066727 0.008171 0.005189 0. 0. 0. 0.003317 0. 0. 0. 0. 0. 0. 0. 0. 0.105364 0. 0. 0. 0.008709;
3, 0.073073 0.03471 0.005644 0. 0. 0. 0.001357 0. 0. 0. 0. 0. 0. 0. 0. 0.081373 0. 0. 0. 0.002325;
4, 0.069642 0.060762 0.007769 0. 0. 0. 0.002129 0. 0. 0. 0. 0. 0. 0. 0. 0.064658 0. 0. 0. 0.00338;
5, 0.074318 0.027106 0.002807 0. 0. 0. 0.002875 0. 0. 0. 0. 0. 0. 0. 0. 0.068225 0. 0. 0. 0.012035;
6, 0.077304 0.010422 0.005599 0. 0. 0. 0.004728 0. 0. 0. 0. 0. 0. 0. 0. 0.074609 0. 0. 0. 0.003316;
7, 0.066165 0.031179 0.002103 0. 0. 0. 0.006853 0. 0. 0. 0. 0. 0. 0. 0. 0.050887 0. 0. 0. 0.000375;
8, 0.066165 0.031179 0.002103 0. 0. 0. 0.006853 0. 0. 0. 0. 0. 0. 0. 0. 0.050887 0. 0. 0. 0.000375;
9, 0.051473 0.0635 0.015462 0. 0. 0. 0.006027 0. 0. 0. 0. 0. 0. 0. 0. 0.034823 0. 0. 0. 0.011935;
10, 0.051473 0.0635 0.015462 0. 0. 0. 0.006027 0. 0. 0. 0. 0. 0. 0. 0. 0.034823 0. 0. 0. 0.011935;
11, 0.040279 0.052338 0.019591 0. 0. 0. 0.003989 0. 0. 0. 0. 0. 0. 0. 0. 0.037883 0. 0. 0. 0.029959;
12, 0.030686 0.025679 0.015335 0. 0. 0. 0.004541 0. 0. 0. 0. 0. 0. 0. 0. 0.034736 0. 0. 0. 0.023409;
13, 0.024107 0.010958 0.01221 0. 0. 0. 0.002712 0. 0. 0. 0. 0. 0. 0. 0. 0.033645 0. 0. 0. 0.021993;
14, 0.019824 0.031828 0.012667 0. 0. 0. 0.002905 0. 0. 0. 0. 0. 0. 0. 0. 0.010661 0. 0. 0. 0.015087;
15, 0.018046 0.079098 0.0061 0. 0. 0. 0.006701 0. 0. 0. 0. 0. 0. 0. 0. 0.037688 0. 0. 0. 0.012473;
16, 0.021832 0.069089 0.009073 0. 0. 0. 0.006946 0. 0. 0. 0. 0. 0. 0. 0. 0.038843 0. 0. 0. 0.011909;
17, 0.023787 0.035622 0.005447 0. 0. 0. 0.006875 0. 0. 0. 0. 0. 0. 0. 0. 0.109038 0. 0. 0. 0.00841;
18, 0.021106 0.038552 0.005921 0. 0. 0. 0.007623 0. 0. 0. 0. 0. 0. 0. 0. 0.072759 0. 0. 0. 0.01696;
19, 0.014291 0.039564 0.014945 0. 0. 0. 0.007123 0. 0. 0. 0. 0. 0. 0. 0. 0.057508 0. 0. 0. 0.019346;
20, 0.002029 0.039841 0.018885 0. 0. 0. 0.004631 0. 0. 0. 0. 0. 0. 0. 0. 0.084364 0. 0. 0. 0.017619;
21, 0.021679 0.04929 0.021985 0. 0. 0. 0.002115 0. 0. 0. 0. 0. 0. 0. 0. 0.19531 0. 0. 0. 0.009095;
22, 0.042602 0.051175 0.021931 0. 0. 0. 0.003413 0. 0. 0. 0. 0. 0. 0. 0. 0.181455 0. 0. 0. 0.009133;
23, 0.045158 0.0367 0.014375 0. 0. 0. 0.004165 0. 0. 0. 0. 0. 0. 0. 0. 0.068929 0. 0. 0. 0.011134;
24, 0.033311 0.022237 0.010618 0. 0. 0. 0.005717 0. 0. 0. 0. 0. 0. 0. 0. 0.049228 0. 0. 0. 0.009777;
25, 0.019799 0.032323 0.002101 0. 0. 0. 0.008897 0. 0. 0. 0. 0. 0. 0. 0. 0.053262 0. 0. 0. 0.006281;
26, 0.019799 0.032323 0.002101 0. 0. 0. 0.008897 0. 0. 0. 0. 0. 0. 0. 0. 0.053262 0. 0. 0. 0.006281;
27, 0.024476 0.045161 0.00163 0. 0. 0. 0.010296 0. 0. 0. 0. 0. 0. 0. 0. 0.115513 0. 0. 0. 0.007115;
28, 0.024044 0.013421 0.009703 0. 0. 0. 0.015954 0. 0. 0. 0. 0. 0. 0. 0. 0.105476 0. 0. 0. 0.00537;
29, 0.022745 0.004781 0.012452 0. 0. 0. 0.00757 0. 0. 0. 0. 0. 0. 0. 0. 0.055433 0. 0. 0. 0.002519;
30, 0.023765 0.018057 0.00775 0. 0. 0. 0.003056 0. 0. 0. 0. 0. 0. 0. 0. 0.070273 0. 0. 0. 0.006929;
31, 0.026363 0.022808 0.008053 0. 0. 0. 0.005969 0. 0. 0. 0. 0. 0. 0. 0. 0.028132 0. 0. 0. 0.016107;
32, 0.024778 0.019976 0.009178 0. 0. 0. 0.001856 0. 0. 0. 0. 0. 0. 0. 0. 0.021461 0. 0. 0. 0.014868;
33, 0.013007 0.018657 0.009518 0. 0. 0. 0.01097 0. 0. 0. 0. 0. 0. 0. 0. 0.045052 0. 0. 0. 0.015783;
34, 0.015125 0.014125 0.010975 0. 0. 0. 0.01482 0. 0. 0. 0. 0. 0. 0. 0. 0.036041 0. 0. 0. 0.017372;
35, 0.013837 0.015478 0.011123 0. 0. 0. 0.010686 0. 0. 0. 0. 0. 0. 0. 0. 0.114939 0. 0. 0. 0.025532;
36, 0.012393 0.008102 0.00074 0. 0. 0. 0.005937 0. 0. 0. 0. 0. 0. 0. 0. 0.179014 0. 0. 0. 0.024034;
37, 0.022986 0.008754 0.004843 0. 0. 0. 0.004743 0. 0. 0. 0. 0. 0. 0. 0. 0.277984 0. 0. 0. 0.028669;
