1, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.206564 0. 0. 0. 0. 0. 0. 0. 0.;
2, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.202642 0. 0. 0. 0. 0. 0. 0. 0.;
3, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.201749 0. 0. 0. 0. 0. 0. 0. 0.;
4, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.213237 0. 0. 0. 0. 0. 0. 0. 0.;
5, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.19739 0. 0. 0. 0. 0. 0. 0. 0.;
6, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.19739 0. 0. 0. 0. 0. 0. 0. 0.;
7, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.209358 0. 0. 0. 0. 0. 0. 0. 0.;
8, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.208186 0. 0. 0. 0. 0. 0. 0. 0.;
9, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.229644 0. 0. 0. 0. 0. 0. 0. 0.;
10, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.230412 0. 0. 0. 0. 0. 0. 0. 0.;
11, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.24001 0. 0. 0. 0. 0. 0. 0. 0.;
12, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.180796 0. 0. 0. 0. 0. 0. 0. 0.;
13, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.185539 0. 0. 0. 0. 0. 0. 0. 0.;
14, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.180109 0. 0. 0. 0. 0. 0. 0. 0.;
15, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.247663 0. 0. 0. 0. 0. 0. 0. 0.;
16, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.235137 0. 0. 0. 0. 0. 0. 0. 0.;
17, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.233212 0. 0. 0. 0. 0. 0. 0. 0.;
18, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.211167 0. 0. 0. 0. 0. 0. 0. 0.;
19, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.20213 0. 0. 0. 0. 0. 0. 0. 0.;
20, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.18255 0. 0. 0. 0. 0. 0. 0. 0.;
21, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.161811 0. 0. 0. 0. 0. 0. 0. 0.;
22, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.134764 0. 0. 0. 0. 0. 0. 0. 0.;
23, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.134764 0. 0. 0. 0. 0. 0. 0. 0.;
24, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.108929 0. 0. 0. 0. 0. 0. 0. 0.;
25, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.110478 0. 0. 0. 0. 0. 0. 0. 0.;
26, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.115695 0. 0. 0. 0. 0. 0. 0. 0.;
27, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.107677 0. 0. 0. 0. 0. 0. 0. 0.;
28, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.115612 0. 0. 0. 0. 0. 0. 0. 0.;
29, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.105415 0. 0. 0. 0. 0. 0. 0. 0.;
30, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.099818 0. 0. 0. 0. 0. 0. 0. 0.;
31, 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.091237 0. 0. 0. 0. 0. 0. 0. 0.;
